Day Index,Users
1/1/2020 0:00,335
1/2/2020 0:00,1131
1/3/2020 0:00,1094
1/4/2020 0:00,393
1/5/2020 0:00,487
1/6/2020 0:00,1380
1/7/2020 0:00,1607
1/8/2020 0:00,1578
1/9/2020 0:00,1640
1/10/2020 0:00,1368
1/11/2020 0:00,477
1/12/2020 0:00,634
1/13/2020 0:00,1812
1/14/2020 0:00,1840
1/15/2020 0:00,1802
1/16/2020 0:00,1708
1/17/2020 0:00,1386
1/18/2020 0:00,420
1/19/2020 0:00,544
1/20/2020 0:00,1527
1/21/2020 0:00,1799
1/22/2020 0:00,1938
1/23/2020 0:00,3000
1/24/2020 0:00,1570
1/25/2020 0:00,546
1/26/2020 0:00,660
1/27/2020 0:00,1910
1/28/2020 0:00,2086
1/29/2020 0:00,1972
1/30/2020 0:00,1962
1/31/2020 0:00,1515
2/1/2020 0:00,612
2/2/2020 0:00,730
2/3/2020 0:00,1922
2/4/2020 0:00,2187
2/5/2020 0:00,2086
2/6/2020 0:00,1955
2/7/2020 0:00,1572
2/8/2020 0:00,622
2/9/2020 0:00,856
2/10/2020 0:00,2155
2/11/2020 0:00,2079
2/12/2020 0:00,2067
2/13/2020 0:00,1996
2/14/2020 0:00,1575
2/15/2020 0:00,605
2/16/2020 0:00,808
2/17/2020 0:00,1878
2/18/2020 0:00,2121
2/19/2020 0:00,2055
2/20/2020 0:00,1991
2/21/2020 0:00,1648
2/22/2020 0:00,539
2/23/2020 0:00,785
2/24/2020 0:00,1888
2/25/2020 0:00,2067
2/26/2020 0:00,2066
2/27/2020 0:00,1981
2/28/2020 0:00,1542
2/29/2020 0:00,585
3/1/2020 0:00,817
3/2/2020 0:00,1987
3/3/2020 0:00,2050
3/4/2020 0:00,2012
3/5/2020 0:00,1977
3/6/2020 0:00,1582
3/7/2020 0:00,621
3/8/2020 0:00,710
3/9/2020 0:00,1884
3/10/2020 0:00,1847
3/11/2020 0:00,1864
3/12/2020 0:00,1787
3/13/2020 0:00,1337
3/14/2020 0:00,538
3/15/2020 0:00,760
3/16/2020 0:00,1465
3/17/2020 0:00,1502
3/18/2020 0:00,1562
3/19/2020 0:00,1486
3/20/2020 0:00,1267
3/21/2020 0:00,599
3/22/2020 0:00,811
3/23/2020 0:00,1500
3/24/2020 0:00,1506
3/25/2020 0:00,1448
3/26/2020 0:00,1610
3/27/2020 0:00,1402
3/28/2020 0:00,692
3/29/2020 0:00,884
